  arc_length_s     gamma_x(s)       gamma_y(s)       gamma_z(s)
  1.900000e+00    1.888768e+00    0.000000e+00    6.780690e-01
  1.920000e+00    1.908408e+00    0.000000e+00    6.818462e-01
  1.940000e+00    1.928041e+00    0.000000e+00    6.856626e-01
  1.960000e+00    1.947666e+00    0.000000e+00    6.895183e-01
  1.980000e+00    1.967283e+00    0.000000e+00    6.934133e-01
  2.000000e+00    1.986892e+00    0.000000e+00    6.973475e-01
  2.020000e+00    2.006493e+00    0.000000e+00    7.013208e-01
  2.040000e+00    2.026087e+00    0.000000e+00    7.053334e-01
  2.060000e+00    2.045672e+00    0.000000e+00    7.093852e-01
  2.080000e+00    2.065249e+00    0.000000e+00    7.134761e-01
  2.100000e+00    2.084818e+00    0.000000e+00    7.176062e-01
  2.120000e+00    2.104379e+00    0.000000e+00    7.217754e-01
  2.140000e+00    2.123931e+00    0.000000e+00    7.259837e-01
  2.160000e+00    2.143475e+00    0.000000e+00    7.302311e-01
  2.180000e+00    2.163010e+00    0.000000e+00    7.345176e-01
  2.200000e+00    2.182537e+00    0.000000e+00    7.388431e-01
  2.220000e+00    2.202054e+00    0.000000e+00    7.432077e-01
  2.240000e+00    2.221564e+00    0.000000e+00    7.476113e-01
  2.260000e+00    2.241064e+00    0.000000e+00    7.520540e-01
  2.280000e+00    2.260555e+00    0.000000e+00    7.565356e-01
  2.300000e+00    2.280038e+00    0.000000e+00    7.610562e-01
  2.320000e+00    2.299511e+00    0.000000e+00    7.656157e-01
  2.340000e+00    2.318975e+00    0.000000e+00    7.702142e-01
  2.360000e+00    2.338430e+00    0.000000e+00    7.748516e-01
  2.380000e+00    2.357876e+00    0.000000e+00    7.795279e-01
  2.400000e+00    2.377312e+00    0.000000e+00    7.842431e-01
  2.420000e+00    2.396739e+00    0.000000e+00    7.889972e-01
  2.440000e+00    2.416156e+00    0.000000e+00    7.937901e-01
  2.460000e+00    2.435564e+00    0.000000e+00    7.986218e-01
  2.480000e+00    2.454962e+00    0.000000e+00    8.034923e-01
  2.500000e+00    2.474350e+00    0.000000e+00    8.084016e-01
  2.520000e+00    2.493728e+00    0.000000e+00    8.133497e-01
  2.540000e+00    2.513096e+00    0.000000e+00    8.183365e-01
  2.560000e+00    2.532455e+00    0.000000e+00    8.233621e-01
  2.580000e+00    2.551803e+00    0.000000e+00    8.284264e-01
  2.600000e+00    2.571141e+00    0.000000e+00    8.335293e-01
  2.620000e+00    2.590469e+00    0.000000e+00    8.386709e-01
  2.640000e+00    2.609786e+00    0.000000e+00    8.438512e-01
  2.660000e+00    2.629093e+00    0.000000e+00    8.490700e-01
  2.680000e+00    2.648390e+00    0.000000e+00    8.543275e-01
  2.700000e+00    2.667676e+00    0.000000e+00    8.596236e-01
  2.720000e+00    2.686951e+00    0.000000e+00    8.649582e-01
  2.740000e+00    2.706216e+00    0.000000e+00    8.703314e-01
  2.760000e+00    2.725470e+00    0.000000e+00    8.757431e-01
  2.780000e+00    2.744713e+00    0.000000e+00    8.811933e-01
  2.800000e+00    2.763945e+00    0.000000e+00    8.866819e-01
  2.820000e+00    2.783166e+00    0.000000e+00    8.922090e-01
  2.840000e+00    2.802376e+00    0.000000e+00    8.977746e-01
  2.860000e+00    2.821575e+00    0.000000e+00    9.033785e-01
  2.880000e+00    2.840763e+00    0.000000e+00    9.090209e-01
  2.900000e+00    2.859939e+00    0.000000e+00    9.147016e-01
  2.920000e+00    2.879104e+00    0.000000e+00    9.204206e-01
  2.940000e+00    2.898257e+00    0.000000e+00    9.261780e-01
  2.960000e+00    2.917399e+00    0.000000e+00    9.319736e-01
  2.980000e+00    2.936529e+00    0.000000e+00    9.378076e-01
  3.000000e+00    2.955648e+00    0.000000e+00    9.436798e-01
  3.020000e+00    2.974754e+00    0.000000e+00    9.495902e-01
  3.040000e+00    2.993849e+00    0.000000e+00    9.555388e-01
  3.060000e+00    3.012932e+00    0.000000e+00    9.615256e-01
  3.080000e+00    3.032003e+00    0.000000e+00    9.675505e-01
  3.100000e+00    3.051062e+00    0.000000e+00    9.736136e-01
  3.120000e+00    3.070109e+00    0.000000e+00    9.797147e-01
  3.140000e+00    3.089143e+00    0.000000e+00    9.858540e-01
  3.160000e+00    3.108165e+00    0.000000e+00    9.920313e-01
  3.180000e+00    3.127175e+00    0.000000e+00    9.982466e-01
  3.200000e+00    3.146172e+00    0.000000e+00    1.004500e+00
  3.220000e+00    3.165157e+00    0.000000e+00    1.010791e+00
  3.240000e+00    3.184129e+00    0.000000e+00    1.017121e+00
  3.260000e+00    3.203088e+00    0.000000e+00    1.023488e+00
  3.280000e+00    3.222035e+00    0.000000e+00    1.029893e+00
  3.300000e+00    3.240969e+00    0.000000e+00    1.036336e+00
