   arc_length_s     gamma_x(s)       gamma_y(s)       gamma_z(s)
   1.860000e+00    -7.549357e-01    9.240116e-01    2.260000e-01
   1.880000e+00    -7.716824e-01    9.130778e-01    2.280000e-01
   1.900000e+00    -7.879785e-01    9.014830e-01    2.300000e-01
   1.920000e+00    -8.037978e-01    8.892459e-01    2.320000e-01
   1.940000e+00    -8.191152e-01    8.763859e-01    2.340000e-01
   1.960000e+00    -8.339060e-01    8.629237e-01    2.360000e-01
   1.980000e+00    -8.481467e-01    8.488808e-01    2.380000e-01
   2.000000e+00    -8.618144e-01    8.342796e-01    2.400000e-01
   2.020000e+00    -8.748872e-01    8.191435e-01    2.420000e-01
   2.040000e+00    -8.873444e-01    8.034968e-01    2.440000e-01
   2.060000e+00    -8.991658e-01    7.873645e-01    2.460000e-01
   2.080000e+00    -9.103327e-01    7.707723e-01    2.480000e-01
   2.100000e+00    -9.208272e-01    7.537468e-01    2.500000e-01
   2.120000e+00    -9.306324e-01    7.363153e-01    2.520000e-01
   2.140000e+00    -9.397327e-01    7.185056e-01    2.540000e-01
   2.160000e+00    -9.481135e-01    7.003463e-01    2.560000e-01
   2.180000e+00    -9.557614e-01    6.818663e-01    2.580000e-01
   2.200000e+00    -9.626643e-01    6.630953e-01    2.600000e-01
   2.220000e+00    -9.688109e-01    6.440633e-01    2.620000e-01
   2.240000e+00    -9.741916e-01    6.248006e-01    2.640000e-01
   2.260000e+00    -9.787976e-01    6.053383e-01    2.660000e-01
   2.280000e+00    -9.826217e-01    5.857073e-01    2.680000e-01
   2.300000e+00    -9.856577e-01    5.659390e-01    2.700000e-01
   2.320000e+00    -9.879008e-01    5.460652e-01    2.720000e-01
   2.340000e+00    -9.893473e-01    5.261176e-01    2.740000e-01
   2.360000e+00    -9.899950e-01    5.061281e-01    2.760000e-01
   2.380000e+00    -9.898427e-01    4.861287e-01    2.780000e-01
   2.400000e+00    -9.888909e-01    4.661513e-01    2.800000e-01
   2.420000e+00    -9.871409e-01    4.462280e-01    2.820000e-01
   2.440000e+00    -9.845956e-01    4.263907e-01    2.840000e-01
   2.460000e+00    -9.812591e-01    4.066709e-01    2.860000e-01
   2.480000e+00    -9.771366e-01    3.871004e-01    2.880000e-01
   2.500000e+00    -9.722348e-01    3.677104e-01    2.900000e-01
   2.520000e+00    -9.665616e-01    3.485319e-01    2.920000e-01
   2.540000e+00    -9.601259e-01    3.295956e-01    2.940000e-01
   2.560000e+00    -9.529382e-01    3.109319e-01    2.960000e-01
   2.580000e+00    -9.450099e-01    2.925705e-01    2.980000e-01
   2.600000e+00    -9.363536e-01    2.745408e-01    3.000000e-01
   2.620000e+00    -9.269833e-01    2.568717e-01    3.020000e-01
   2.640000e+00    -9.169138e-01    2.395914e-01    3.040000e-01
   2.660000e+00    -9.061615e-01    2.227277e-01    3.060000e-01
   2.680000e+00    -8.947433e-01    2.063074e-01    3.080000e-01
   2.700000e+00    -8.826777e-01    1.903569e-01    3.100000e-01
   2.720000e+00    -8.699838e-01    1.749016e-01    3.120000e-01
   2.740000e+00    -8.566820e-01    1.599663e-01    3.140000e-01
   2.760000e+00    -8.427937e-01    1.455748e-01    3.160000e-01
   2.780000e+00    -8.283409e-01    1.317503e-01    3.180000e-01
   2.800000e+00    -8.133469e-01    1.185148e-01    3.200000e-01
   2.820000e+00    -7.978356e-01    1.058894e-01    3.220000e-01
   2.840000e+00    -7.818318e-01    9.389449e-02    3.240000e-01
   2.860000e+00    -7.653611e-01    8.254911e-02    3.260000e-01
   2.880000e+00    -7.484500e-01    7.187147e-02    3.280000e-01
   2.900000e+00    -7.311253e-01    6.187863e-02    3.300000e-01
   2.920000e+00    -7.134149e-01    5.258659e-02    3.320000e-01
   2.940000e+00    -6.953471e-01    4.401020e-02    3.340000e-01
   2.960000e+00    -6.769508e-01    3.616320e-02    3.360000e-01
   2.980000e+00    -6.582554e-01    2.905813e-02    3.380000e-01
   3.000000e+00    -6.392908e-01    2.270636e-02    3.400000e-01
   3.020000e+00    -6.200874e-01    1.711805e-02    3.420000e-01
   3.040000e+00    -6.006759e-01    1.230214e-02    3.440000e-01
   3.060000e+00    -5.810873e-01    8.266335e-03    3.460000e-01
   3.080000e+00    -5.613530e-01    5.017095e-03    3.480000e-01
   3.100000e+00    -5.415046e-01    2.559615e-03    3.500000e-01
   3.120000e+00    -5.215737e-01    8.978269e-04    3.520000e-01
   3.140000e+00    -5.015924e-01    3.438922e-05    3.540000e-01
   3.160000e+00    -4.815925e-01    -2.931681e-05   3.560000e-01
   3.180000e+00    -4.616060e-01    7.068107e-04    3.580000e-01
   3.200000e+00    -4.416650e-01    2.241594e-03    3.600000e-01
   3.220000e+00    -4.218013e-01    4.572578e-03    3.620000e-01
   3.240000e+00    -4.020467e-01    7.696034e-03    3.640000e-01
   3.260000e+00    -3.824328e-01    1.160696e-02    3.660000e-01
   3.280000e+00    -3.629910e-01    1.629911e-02    3.680000e-01
   3.300000e+00    -3.437524e-01    2.176497e-02    3.700000e-01
   3.320000e+00    -3.247478e-01    2.799580e-02    3.720000e-01
   3.340000e+00    -3.060075e-01    3.498163e-02    3.740000e-01
   3.360000e+00    -2.875615e-01    4.271128e-02    3.760000e-01
   3.380000e+00    -2.694395e-01    5.117238e-02    3.780000e-01
   3.400000e+00    -2.516702e-01    6.035141e-02    3.800000e-01
   3.420000e+00    -2.342823e-01    7.023368e-02    3.820000e-01
   3.440000e+00    -2.173034e-01    8.080338e-02    3.840000e-01
   3.460000e+00    -2.007608e-01    9.204359e-02    3.860000e-01
   3.480000e+00    -1.846810e-01    1.039363e-01    3.880000e-01
   3.500000e+00    -1.690895e-01    1.164626e-01    3.900000e-01
   3.520000e+00    -1.540115e-01    1.296023e-01    3.920000e-01
   3.540000e+00    -1.394709e-01    1.433345e-01    3.940000e-01
   3.560000e+00    -1.254912e-01    1.576372e-01    3.960000e-01
   3.580000e+00    -1.120946e-01    1.724874e-01    3.980000e-01
   3.600000e+00    -9.930249e-02    1.878616e-01    4.000000e-01
   3.620000e+00    -8.713547e-02    2.037349e-01    4.020000e-01
   3.640000e+00    -7.561294e-02    2.200821e-01    4.040000e-01
   3.660000e+00    -6.475334e-02    2.368770e-01    4.060000e-01
   3.680000e+00    -5.457405e-02    2.540928e-01    4.080000e-01
   3.700000e+00    -4.509134e-02    2.717018e-01    4.100000e-01
   3.720000e+00    -3.632039e-02    2.896760e-01    4.120000e-01
   3.740000e+00    -2.827524e-02    3.079865e-01    4.140000e-01
   3.760000e+00    -2.096874e-02    3.266041e-01    4.160000e-01
   3.780000e+00    -1.441260e-02    3.454990e-01    4.180000e-01
   3.800000e+00    -8.617292e-03    3.646410e-01    4.200000e-01
   3.820000e+00    -3.592095e-03    3.839994e-01    4.220000e-01
   3.840000e+00     6.549527e-04    4.035432e-01    4.240000e-01
   3.860000e+00     4.117057e-03    4.232413e-01    4.260000e-01
   3.880000e+00     6.788680e-03    4.430620e-01    4.280000e-01
   3.900000e+00     8.665547e-03    4.629738e-01    4.300000e-01
   3.920000e+00     9.744656e-03    4.829447e-01    4.320000e-01
   3.940000e+00     1.002428e-02    5.029427e-01    4.340000e-01
   3.960000e+00     9.503971e-03    5.229359e-01    4.360000e-01
   3.980000e+00     8.184562e-03    5.428924e-01    4.380000e-01
   4.000000e+00     6.068165e-03    5.627801e-01    4.400000e-01
   4.020000e+00     3.158164e-03    5.825672e-01    4.420000e-01
   4.040000e+00    -5.407845e-04    6.022222e-01    4.440000e-01
   4.060000e+00    -5.022763e-03    6.217135e-01    4.460000e-01
   4.080000e+00    -1.028060e-02    6.410100e-01    4.480000e-01
   4.100000e+00    -1.630589e-02    6.600808e-01    4.500000e-01
   4.120000e+00    -2.308899e-02    6.788955e-01    4.520000e-01
   4.140000e+00    -3.061904e-02    6.974238e-01    4.540000e-01
   4.160000e+00    -3.888401e-02    7.156361e-01    4.560000e-01
   4.180000e+00    -4.787067e-02    7.335034e-01    4.580000e-01
   4.200000e+00    -5.756463e-02    7.509970e-01    4.600000e-01
   4.220000e+00    -6.795041e-02    7.680890e-01    4.620000e-01
   4.240000e+00    -7.901137e-02    7.847520e-01    4.640000e-01
   4.260000e+00    -9.072983e-02    8.009594e-01    4.660000e-01
   4.280000e+00    -1.030870e-01    8.166851e-01    4.680000e-01
   4.300000e+00    -1.160632e-01    8.319041e-01    4.700000e-01
   4.320000e+00    -1.296376e-01    8.465921e-01    4.720000e-01
   4.340000e+00    -1.437885e-01    8.607254e-01    4.740000e-01
   4.360000e+00    -1.584933e-01    8.742816e-01    4.760000e-01
   4.380000e+00    -1.737284e-01    8.872389e-01    4.780000e-01
   4.400000e+00    -1.894695e-01    8.995766e-01    4.800000e-01
   4.420000e+00    -2.056913e-01    9.112749e-01    4.820000e-01
   4.440000e+00    -2.223680e-01    9.223152e-01    4.840000e-01
   4.460000e+00    -2.394729e-01    9.326798e-01    4.860000e-01
   4.480000e+00    -2.569785e-01    9.423520e-01    4.880000e-01
   4.500000e+00    -2.748569e-01    9.513165e-01    4.900000e-01
   4.520000e+00    -2.930795e-01    9.595589e-01    4.920000e-01
   4.540000e+00    -3.116172e-01    9.670660e-01    4.940000e-01
   4.560000e+00    -3.304402e-01    9.738257e-01    4.960000e-01
   4.580000e+00    -3.495185e-01    9.798274e-01    4.980000e-01
   4.600000e+00    -3.688215e-01    9.850613e-01    5.000000e-01
   4.620000e+00    -3.883183e-01    9.895191e-01    5.020000e-01
   4.640000e+00    -4.079779e-01    9.931936e-01    5.040000e-01
   4.660000e+00    -4.277686e-01    9.960791e-01    5.060000e-01
   4.680000e+00    -4.476590e-01    9.981708e-01    5.080000e-01
   4.700000e+00    -4.676170e-01    9.994655e-01    5.100000e-01
   4.720000e+00    -4.876109e-01    9.999610e-01    5.120000e-01
   4.740000e+00    -5.076086e-01    9.996565e-01    5.140000e-01
   4.760000e+00    -5.275781e-01    9.985527e-01    5.160000e-01
   4.780000e+00    -5.474875e-01    9.966511e-01    5.180000e-01
   4.800000e+00    -5.673049e-01    9.939549e-01    5.200000e-01
   4.820000e+00    -5.869986e-01    9.904683e-01    5.220000e-01
   4.840000e+00    -6.065372e-01    9.861971e-01    5.240000e-01
   4.860000e+00    -6.258894e-01    9.811479e-01    5.260000e-01
   4.880000e+00    -6.450241e-01    9.753288e-01    5.280000e-01
   4.900000e+00    -6.639109e-01    9.687492e-01    5.300000e-01
   4.920000e+00    -6.825194e-01    9.614196e-01    5.320000e-01
   4.940000e+00    -7.008199e-01    9.533518e-01    5.340000e-01
   4.960000e+00    -7.187832e-01    9.445585e-01    5.360000e-01
   4.980000e+00    -7.363805e-01    9.350540e-01    5.380000e-01
   5.000000e+00    -7.535836e-01    9.248534e-01    5.400000e-01
   5.020000e+00    -7.703650e-01    9.139729e-01    5.420000e-01
   5.040000e+00    -7.866979e-01    9.024301e-01    5.440000e-01
   5.060000e+00    -8.025562e-01    8.902434e-01    5.460000e-01
   5.080000e+00    -8.179144e-01    8.774323e-01    5.480000e-01
   5.100000e+00    -8.327480e-01    8.640173e-01    5.500000e-01
   5.120000e+00    -8.470333e-01    8.500198e-01    5.520000e-01
   5.140000e+00    -8.607475e-01    8.354622e-01    5.540000e-01
   5.160000e+00    -8.738685e-01    8.203679e-01    5.560000e-01
   5.180000e+00    -8.863754e-01    8.047609e-01    5.580000e-01
   5.200000e+00    -8.982482e-01    7.886663e-01    5.600000e-01
   5.220000e+00    -9.094679e-01    7.721098e-01    5.620000e-01
   5.240000e+00    -9.200165e-01    7.551178e-01    5.640000e-01
   5.260000e+00    -9.298772e-01    7.377176e-01    5.660000e-01
   5.280000e+00    -9.390342e-01    7.199370e-01    5.680000e-01
   5.300000e+00    -9.474728e-01    7.018045e-01    5.700000e-01
   5.320000e+00    -9.551796e-01    6.833490e-01    5.720000e-01
   5.340000e+00    -9.621421e-01    6.646000e-01    5.740000e-01
   5.360000e+00    -9.683494e-01    6.455877e-01    5.760000e-01
   5.380000e+00    -9.737914e-01    6.263423e-01    5.780000e-01
   5.400000e+00    -9.784594e-01    6.068947e-01    5.800000e-01
   5.420000e+00    -9.823460e-01    5.872760e-01    5.820000e-01
   5.440000e+00    -9.854450e-01    5.675175e-01    5.840000e-01
   5.460000e+00    -9.877513e-01    5.476509e-01    5.860000e-01
   5.480000e+00    -9.892614e-01    5.277080e-01    5.880000e-01
   5.500000e+00    -9.899727e-01    5.077207e-01    5.900000e-01
   5.520000e+00    -9.898842e-01    4.877209e-01    5.920000e-01
   5.540000e+00    -9.889960e-01    4.677406e-01    5.940000e-01
   5.560000e+00    -9.873094e-01    4.478118e-01    5.960000e-01
   5.580000e+00    -9.848273e-01    4.279665e-01    5.980000e-01
   5.600000e+00    -9.815536e-01    4.082362e-01    6.000000e-01
   5.620000e+00    -9.774935e-01    3.886527e-01    6.020000e-01
   5.640000e+00    -9.726536e-01    3.692471e-01    6.040000e-01
   5.660000e+00    -9.670414e-01    3.500507e-01    6.060000e-01
   5.680000e+00    -9.606661e-01    3.310940e-01    6.080000e-01
   5.700000e+00    -9.535379e-01    3.124074e-01    6.100000e-01
   5.720000e+00    -9.456681e-01    2.940208e-01    6.120000e-01
   5.740000e+00    -9.370693e-01    2.759637e-01    6.140000e-01
   5.760000e+00    -9.277553e-01    2.582648e-01    6.160000e-01
   5.780000e+00    -9.177410e-01    2.409526e-01    6.180000e-01
   5.800000e+00    -9.070423e-01    2.240547e-01    6.200000e-01
   5.820000e+00    -8.956765e-01    2.075981e-01    6.220000e-01
   5.840000e+00    -8.836618e-01    1.916092e-01    6.240000e-01
   5.860000e+00    -8.710172e-01    1.761136e-01    6.260000e-01
   5.880000e+00    -8.577631e-01    1.611360e-01    6.280000e-01
   5.900000e+00    -8.439206e-01    1.467004e-01    6.300000e-01
   5.920000e+00    -8.295120e-01    1.328299e-01    6.320000e-01
   5.940000e+00    -8.145602e-01    1.195467e-01    6.340000e-01
   5.960000e+00    -7.990892e-01    1.068720e-01    6.360000e-01
   5.980000e+00    -7.831237e-01    9.482612e-02    6.380000e-01
   6.000000e+00    -7.666892e-01    8.342834e-02    6.400000e-01
   6.020000e+00    -7.498121e-01    7.269688e-02    6.420000e-01
   6.040000e+00    -7.325194e-01    6.264891e-02    6.440000e-01
   6.060000e+00    -7.148387e-01    5.330050e-02    6.460000e-01
   6.080000e+00    -6.967983e-01    4.466661e-02    6.480000e-01
   6.100000e+00    -6.784271e-01    3.676105e-02    6.500000e-01
   6.120000e+00    -6.597544e-01    2.959646e-02    6.520000e-01
   6.140000e+00    -6.408102e-01    2.318431e-02    6.540000e-01
   6.160000e+00    -6.216247e-01    1.753486e-02    6.560000e-01
   6.180000e+00    -6.022286e-01    1.265715e-02    6.580000e-01
   6.200000e+00    -5.826530e-01    8.558970e-03    6.600000e-01
   6.220000e+00    -5.629291e-01    5.246887e-03    6.620000e-01
   6.240000e+00    -5.430886e-01    2.726196e-03    6.640000e-01
   6.260000e+00    -5.231632e-01    1.000930e-03    6.660000e-01
   6.280000e+00    -5.031847e-01    7.385051e-05    6.680000e-01
